index,Activos Sin Vencido,Clientes Z,Clientes Generados,Nunca +15,Nunca 0-15,Quebrantados,Saldados +15,Saldados 0-15,Sin Datos,Vencidos +4,Vencidos 1,Vencidos 2,Vencidos 3,Total General,Total Clientes
Activos Sin Vencido,,,,,,,,,,,,,,,
ago-16,6,0,0,8,10,0,0,2,0,1,1,0,0,26," 313,932 "
sep-16,6,0,0,9,8,0,0,2,0,1,1,0,0,26," 270,205 "
oct-16,6,0,0,10,7,0,0,2,0,1,1,0,0,26," 227,293 "
nov-16,6,0,0,10,6,0,0,2,0,1,1,0,0,26," 185,517 "
dic-16,6,0,0,11,4,0,0,2,0,1,0,0,0,26," 144,977 "
ene-17,179,0,0,92,1776,0,0,11,0,0,0,0,0,2057," 634,132 "
feb-17,263,0,0,185,1569,0,0,32,0,0,8,0,0,2057," 560,353 "
mar-17,314,0,0,276,1384,3,0,52,0,0,24,5,0,2057," 494,345 "
abr-17,360,0,0,370,1208,6,0,68,0,0,26,15,4,2057," 431,591 "
may-17,391,0,0,458,1051,8,0,84,0,3,31,17,13,2057," 375,517 "
jun-17,406,0,0,533,921,10,0,98,0,15,38,21,15,2057," 329,060 "
jul-17,422,0,0,610,791,12,0,111,0,28,40,25,18,2057," 282,700 "
ago-17,433,0,0,676,681,15,0,122,0,42,42,26,20,2057," 243,371 "
sep-17,429,0,0,707,614,17,0,135,0,59,48,28,22,2057," 219,237 "
oct-17,435,0,0,739,543,20,0,145,0,75,46,31,23,2057," 194,042 "
nov-17,450,0,0,771,469,23,0,154,0,91,44,30,25,2057," 167,619 "
dic-17,479,0,0,799,393,30,0,165,0,105,38,25,23,2057," 140,324 "
ene-18,1,0,0,1,7,0,0,0,0,0,0,0,0,9," 280,927 "
feb-18,1,0,0,1,6,0,0,0,0,0,0,0,0,9," 244,852 "
mar-18,1,0,0,2,5,0,0,0,0,0,0,0,0,9," 186,074 "
abr-18,1,0,0,3,4,0,0,0,0,0,0,0,0,9," 137,201 "
may-18,1,0,0,4,3,0,0,0,0,0,0,0,0,9," 112,517 "
jun-18,1,0,0,4,2,0,0,0,0,0,0,0,0,9," 93,124 "
